subject,flat,edge_iaf,fallback,qc_ok
sub-NDARAM487XU3,True,False,True,False
sub-NDARAM675UR8,False,False,False,True
sub-NDARAM704GKZ,False,False,False,True
sub-NDARAM873GAC,False,False,False,True
sub-NDARAN076TPG,False,False,False,True
sub-NDARAN160GUF,False,False,False,True
sub-NDARAN229MTX,False,False,False,True
sub-NDARAN262WK6,False,False,False,True
sub-NDARAN385MDH,False,False,False,True
sub-NDARAN934AZL,False,False,False,True
sub-NDARAP049KXJ,False,False,False,True
sub-NDARAP120HTA,False,False,False,True
sub-NDARAP176AD1,False,False,False,True
sub-NDARAP359UM6,False,False,False,True
sub-NDARAP457WB5,False,False,False,True
sub-NDARAP782TVC,False,False,False,True
sub-NDARAR238RZ8,False,False,False,True
sub-NDARAR305LXG,False,False,True,False
sub-NDARAR335FZH,False,False,False,True
sub-NDARAR358RHK,False,False,False,True
sub-NDARAR935TGZ,False,False,False,True
sub-NDARAR991JAA,False,False,False,True
sub-NDARAR998KMM,False,False,False,True
sub-NDARAT000LDV,False,False,True,False
sub-NDARAT193FC0,False,False,True,False
sub-NDARAT244VGA,False,False,False,True
sub-NDARAT680GJA,False,False,False,True
sub-NDARAT709MMX,False,False,False,True
sub-NDARAU044FP6,False,False,False,True
sub-NDARAU939WUK,False,False,True,False
sub-NDARAV031PPJ,False,False,False,True
sub-NDARAV082JHA,False,False,False,True
sub-NDARAV454VF0,False,False,False,True
sub-NDARAV474ADJ,False,False,False,True
sub-NDARAV519RND,False,False,False,True
sub-NDARAV610EY3,False,False,False,True
sub-NDARAV925BP3,False,False,True,False
sub-NDARAW216PM7,False,False,False,True
sub-NDARAW298ZA9,False,False,False,True
sub-NDARAW320CGR,False,False,False,True
sub-NDARAX075WL9,False,False,False,True
sub-NDARAX272ZJL,False,False,False,True
sub-NDARAX277ATU,False,False,False,True
sub-NDARAX283MAK,False,False,True,False
sub-NDARAX287BLD,False,False,False,True
sub-NDARAX722PKY,False,False,False,True
sub-NDARAX887JRN,False,False,False,True
sub-NDARAY283AU1,False,False,False,True
sub-NDARAY298THW,False,False,True,False
sub-NDARAY461TZZ,False,False,False,True
sub-NDARAY475AKD,False,False,False,True
sub-NDARAY596ZWD,False,False,False,True
sub-NDARAZ068TNJ,False,False,False,True
sub-NDARAZ069DBL,False,False,False,True
sub-NDARBA004KBT,False,False,False,True
sub-NDARBA404HR9,False,False,False,True
sub-NDARBA680RFY,False,False,False,True
sub-NDARBA839HLG,False,False,False,True
sub-NDARBB118UDB,False,False,False,True
sub-NDARBC202FT0,False,False,False,True
sub-NDARBC296PLU,False,False,False,True
sub-NDARBC734UVY,False,False,False,True
sub-NDARBC773HN6,False,True,False,False
sub-NDARBC865CXQ,False,False,True,False
sub-NDARBD328NUQ,False,False,False,True
sub-NDARBD347AG0,False,False,False,True
sub-NDARBD370RBY,False,False,True,False
sub-NDARBD879MBX,False,False,False,True
sub-NDARBD992CH7,False,False,False,True
sub-NDARBE081CU3,False,False,False,True
sub-NDARBE641DGZ,False,False,False,True
sub-NDARBE719PMB,False,False,False,True
sub-NDARBF042LDM,False,False,False,True
sub-NDARBF176LPM,False,False,False,True
sub-NDARBF183RFB,False,False,False,True
sub-NDARBF293YRB,False,False,False,True
sub-NDARBF575JUL,False,False,False,True
sub-NDARBF906DVB,False,False,False,True
sub-NDARBF911MLX,False,False,False,True
sub-NDARBG073ZY4,False,False,False,True
sub-NDARBG574KF4,False,False,False,True
sub-NDARBG831VK4,False,False,False,True
sub-NDARBH019KPD,False,False,False,True
sub-NDARBH024NH2,False,False,False,True
sub-NDARBH502NZ9,False,False,False,True
sub-NDARBH512BHA,False,False,False,True
sub-NDARBH701KA1,False,False,False,True
sub-NDARBH728DFK,False,False,False,True
sub-NDARBJ159HXB,False,False,False,True
sub-NDARBJ375VP4,False,False,False,True
sub-NDARBJ478HW5,False,False,False,True
sub-NDARBJ482HJL,False,False,False,True
sub-NDARBJ637CFZ,False,False,False,True
sub-NDARBK082PDD,False,False,False,True
sub-NDARBK106KRH,False,False,False,True
sub-NDARBK739HXR,False,False,False,True
sub-NDARBL042LWN,False,False,False,True
sub-NDARBL170XJX,False,False,False,True
sub-NDARBL242L4H,False,False,False,True
sub-NDARBL444FBA,False,False,False,True
sub-NDARBL935ZUA,False,False,False,True
sub-NDARBL990KHP,False,False,False,True
sub-NDARBM173BJG,False,False,False,True
sub-NDARBM197EFF,False,False,False,True
sub-NDARBM348NAN,False,False,False,True
sub-NDARBM370JCB,False,False,False,True
sub-NDARBM642JFT,False,False,False,True
sub-NDARBM839WR5,False,False,False,True
sub-NDARBN611GRA,False,False,False,True
sub-NDARBN620TT7,False,False,False,True
sub-NDARBN695TM7,False,False,False,True
sub-NDARBP398JHL,False,False,False,True
sub-NDARBP516PXX,False,False,False,True
sub-NDARBP681MTT,False,False,True,False
sub-NDARBP770MUM,False,False,False,True
sub-NDARBR039KM0,False,False,False,True
sub-NDARBR128UFP,False,False,False,True
sub-NDARBR533KJZ,False,False,False,True
sub-NDARBR740NKV,False,False,False,True
sub-NDARBT436PMT,False,False,False,True
sub-NDARBT579AW1,False,False,False,True
sub-NDARBT607PZL,False,False,False,True
sub-NDARBT640EBN,False,False,False,True
sub-NDARBT980MW2,False,False,False,True
sub-NDARBU098PJT,False,False,True,False
sub-NDARBU183TDJ,False,False,False,True
sub-NDARBU451LDR,False,False,False,True
sub-NDARBU532YXZ,False,False,False,True
sub-NDARBU607ZZ3,False,False,False,True
sub-NDARBU668NTV,False,False,False,True
sub-NDARBU730PN8,False,False,False,True
sub-NDARBU757VJK,False,False,True,False
sub-NDARBU928LV0,False,False,False,True
sub-NDARBV059CGE,False,False,True,False
sub-NDARBV167RMU,False,False,False,True
sub-NDARBV198EKU,False,False,False,True
sub-NDARBV577EE0,False,False,False,True
sub-NDARBV630BK6,False,False,False,True
sub-NDARBV680AA8,False,False,False,True
sub-NDARBW026UGE,False,False,False,True
sub-NDARBW255JE1,False,False,False,True
sub-NDARBW268XPY,False,False,False,True
sub-NDARBW660FLT,False,False,True,False
sub-NDARBW971DCW,False,False,False,True
sub-NDARBX121UM9,False,False,False,True
sub-NDARBX400RTC,False,False,False,True
sub-NDARBX479JVN,False,False,False,True
sub-NDARBX974XDR,False,False,False,True
sub-NDARBY976XYY,False,True,False,False
sub-NDARBZ444ZHK,False,False,False,True
sub-NDARBZ475NKK,True,False,True,False
sub-NDARBZ913ZB9,False,False,False,True
sub-NDARBZ925PRF,False,False,False,True
sub-NDARCA050RZL,False,False,False,True
sub-NDARCA153NKE,False,False,False,True
sub-NDARCA578CEB,False,False,False,True
sub-NDARCA618DGA,False,False,False,True
sub-NDARCA851LUG,False,False,True,False
sub-NDARCB142ZPB,False,False,False,True
sub-NDARCB305AFY,False,False,False,True
sub-NDARCB504PGG,False,False,False,True
sub-NDARCB620LXQ,False,False,False,True
sub-NDARCB869VM8,False,False,False,True
sub-NDARCC059WTH,False,False,False,True
sub-NDARCC101PA9,False,True,False,False
sub-NDARCC140AAK,False,False,False,True
sub-NDARCC620ZFT,False,False,True,False
sub-NDARCC824FCL,False,False,False,True
sub-NDARCC909PYL,False,False,False,True
sub-NDARCD075CMG,False,False,False,True
sub-NDARCD182XT1,False,False,False,True
sub-NDARCD296XU9,False,False,False,True
sub-NDARCD357CZR,False,False,False,True
sub-NDARCD453JG4,False,False,False,True
sub-NDARCD543VK6,False,False,True,False
sub-NDARCE162VRB,False,False,False,True
sub-NDARCE721YB5,False,False,False,True
sub-NDARCE788KXW,False,False,False,True
sub-NDARCE803VF5,False,False,False,True
sub-NDARCF052AE0,False,False,False,True
sub-NDARCF658ZMQ,False,False,False,True
sub-NDARCG037CX4,False,False,False,True
sub-NDARCG343UF4,False,False,False,True
sub-NDARCG785NND,False,False,False,True
sub-NDARCG947ZC0,False,False,False,True
sub-NDARCH001CN2,False,False,False,True
sub-NDARCH514JCT,False,False,False,True
sub-NDARCH628LKW,False,False,False,True
sub-NDARCH881EFG,False,False,False,True
sub-NDARCH889NUF,False,False,False,True
sub-NDARCJ011TTG,False,False,False,True
sub-NDARCJ014BCH,False,False,False,True
sub-NDARCJ170CT9,False,False,False,True
sub-NDARCJ348YVB,False,False,False,True
sub-NDARCJ433TCG,False,False,False,True
sub-NDARCJ475WJP,False,False,False,True
sub-NDARCJ594BWQ,False,False,False,True
sub-NDARCJ667UPL,False,False,False,True
sub-NDARCK113CJM,False,False,False,True
sub-NDARCK162REX,False,True,True,False
sub-NDARCK427YBH,False,False,False,True
sub-NDARCK481KRH,False,False,False,True
sub-NDARCK647MU6,False,False,False,True
sub-NDARCK661RZ6,False,True,True,False
sub-NDARCK816LRX,False,False,False,True
sub-NDARCL008HLA,False,False,False,True
sub-NDARCL016NHB,False,False,False,True
sub-NDARCL105LUE,False,False,False,True
sub-NDARCL253KU1,False,False,False,True
sub-NDARCL586HXH,False,True,False,False
sub-NDARCL895UV8,False,False,False,True
sub-NDARCM027TAV,False,False,False,True
sub-NDARCM050BN2,False,False,False,True
sub-NDARCM080BVQ,False,False,False,True
sub-NDARCM082AZD,False,False,False,True
sub-NDARCM135DVC,False,False,False,True
sub-NDARCM639ZNA,False,False,False,True
sub-NDARCM677TC1,False,False,False,True
sub-NDARCM953HKD,False,False,False,True
sub-NDARCN497LVY,False,False,False,True
sub-NDARCN500KJG,False,False,False,True
sub-NDARCN669XPR,False,False,False,True
sub-NDARCN681CXW,False,False,False,True
sub-NDARCP073AFY,False,False,False,True
sub-NDARCP292KPA,False,False,False,True
sub-NDARCP452ZVH,False,False,False,True
sub-NDARCP642KML,False,False,False,True
sub-NDARCR499NE4,False,True,True,False
sub-NDARCR594JN0,False,False,True,False
sub-NDARCR715LEY,False,True,True,False
sub-NDARCR743RHQ,False,False,False,True
sub-NDARCT119UKU,False,False,False,True
sub-NDARCT277WK9,False,False,False,True
sub-NDARCT301RK9,True,False,False,False
sub-NDARCT889DMB,False,True,True,False
sub-NDARCT974NAJ,False,False,True,False
sub-NDARCU001ZN7,False,False,False,True
sub-NDARCU057BFP,False,False,False,True
sub-NDARCU118LMX,False,False,False,True
sub-NDARCU621EBN,False,False,False,True
sub-NDARCU865PBV,False,False,False,True
sub-NDARCU891YET,False,False,False,True
sub-NDARCU957PGQ,False,False,False,True
sub-NDARCV378MMX,False,True,False,False
sub-NDARCV440TRV,True,True,True,False
sub-NDARCV628NRY,True,False,True,False
sub-NDARCV944JA6,False,False,False,True
sub-NDARCW071AU5,False,False,True,False
sub-NDARCW094JCG,False,False,True,False
sub-NDARCW497XW2,False,False,False,True
sub-NDARCW611MK5,False,False,False,True
sub-NDARCW855EMQ,False,False,False,True
sub-NDARCW932EU6,False,False,True,False
sub-NDARCW933FD5,False,False,False,True
sub-NDARCW946WNE,False,False,False,True
sub-NDARCX021XWF,False,False,False,True
sub-NDARCX053GU5,False,True,False,False
sub-NDARCX462NVA,False,False,True,False
sub-NDARCX505WVX,False,False,False,True
sub-NDARCY178KJP,False,False,False,True
sub-NDARCY682FLJ,False,False,False,True
sub-NDARCZ388PF5,False,False,False,True
sub-NDARCZ770BRG,False,False,False,True
sub-NDARCZ915NC1,False,False,False,True
sub-NDARCZ947WU5,False,False,False,True
sub-NDARDA656RBN,False,False,True,False
sub-NDARDA665DRH,False,False,False,True
sub-NDARDB033FW5,False,False,False,True
sub-NDARDC003YG7,True,False,True,False
sub-NDARDC389TLD,False,False,False,True
sub-NDARDC553RE2,False,False,False,True
sub-NDARDC704GKW,False,False,False,True
sub-NDARDC814WW2,False,False,False,True
sub-NDARDC987BMU,False,False,False,True
sub-NDARDD073JKZ,False,False,False,True
sub-NDARDD128NWL,False,False,False,True
sub-NDARDD193HUP,False,False,False,True
sub-NDARDD531EP2,False,False,False,True
sub-NDARDD820LG7,False,False,False,True
sub-NDARDE283PLC,False,False,False,True
sub-NDARDE294HNX,False,False,True,False
sub-NDARDE319VD1,False,False,False,True
sub-NDARDE355JYM,False,False,False,True
sub-NDARDE502TEU,False,False,True,False
sub-NDARDE597GKQ,False,False,False,True
sub-NDARDE827UF0,False,False,False,True
sub-NDARDF166XVA,False,False,False,True
sub-NDARDF373ZDW,False,False,False,True
sub-NDARDF568GL5,False,False,False,True
sub-NDARDF877LW4,False,False,False,True
sub-NDARDG484ZJ1,False,False,False,True
sub-NDARDG528KWJ,False,False,False,True
sub-NDARDG644LJX,False,False,False,True
sub-NDARDG747ULB,False,False,False,True
sub-NDARDG929LYJ,False,False,False,True
sub-NDARDH214UVC,False,False,True,False
sub-NDARDH270YR5,False,False,False,True
sub-NDARDH305AV2,False,False,True,False
sub-NDARDH670PXH,False,False,False,True
sub-NDARDH793TRR,False,False,False,True
sub-NDARDH934MUV,False,False,False,True
sub-NDARDJ083LD3,False,False,False,True
sub-NDARDJ092YKH,False,False,False,True
sub-NDARDJ204EPU,False,False,False,True
sub-NDARDJ544BU5,False,False,False,True
sub-NDARDJ947WXC,True,True,True,False
sub-NDARDJ970ELG,False,False,False,True
sub-NDARDK197BHM,False,False,False,True
sub-NDARDK635CD2,False,False,False,True
sub-NDARDK794WV3,False,False,False,True
sub-NDARDL129FV3,False,False,False,True
sub-NDARDL377ZT7,False,False,False,True
sub-NDARDL389KT5,False,False,False,True
sub-NDARDL511UND,False,False,False,True
sub-NDARDM027XFE,False,True,False,False
sub-NDARDM118LR6,False,False,False,True
sub-NDARDM419DLQ,False,False,False,True
sub-NDARDN393BJH,False,False,False,True
sub-NDARDN446FJG,False,False,False,True
sub-NDARDN489EXJ,False,False,False,True
sub-NDARDN924BV2,False,False,False,True
sub-NDARDN996CPF,False,False,False,True
sub-NDARDP292DVC,False,False,True,False
sub-NDARDP725ZVY,False,False,True,False
sub-NDARDP740CLE,False,False,False,True
sub-NDARDP815CNW,False,False,True,False
sub-NDARDR067YMC,False,False,False,True
sub-NDARDR103FJQ,False,False,False,True
sub-NDARDR240WKM,False,False,False,True
sub-NDARDR296XHN,False,False,False,True
sub-NDARDR304HHJ,False,False,False,True
sub-NDARDR439HY2,False,False,False,True
sub-NDARDR458MR7,False,False,False,True
sub-NDARDR591AUC,False,False,False,True
sub-NDARDR595ZE5,False,False,False,True
sub-NDARDR898FMV,False,True,False,False
sub-NDARDT528ZZJ,False,False,False,True
sub-NDARDU314YVY,False,False,False,True
sub-NDARDU482DGK,False,False,False,True
sub-NDARDU566NUY,False,False,True,False
sub-NDARDU602LPX,False,False,False,True
sub-NDARDU617ZW1,False,False,False,True
sub-NDARDU760YZC,False,False,False,True
sub-NDARDU986RBM,False,False,False,True
sub-NDARDV088AA3,False,False,False,True
sub-NDARDV122YZN,False,False,False,True
sub-NDARDV204BYM,False,False,False,True
sub-NDARDV222JZ6,False,False,False,True
sub-NDARDV421ZWE,False,False,False,True
sub-NDARDV648WB5,False,False,False,True
sub-NDARDV865ENP,False,False,False,True
sub-NDARDW178AC6,False,False,False,True
sub-NDARDW252TCB,False,False,True,False
sub-NDARDW416KWZ,False,False,False,True
sub-NDARDW463WFD,False,False,True,False
sub-NDARDW741HCF,False,False,False,True
sub-NDARDX173WLD,False,False,False,True
sub-NDARDX451ZGM,False,False,False,True
sub-NDARDX857DLB,False,False,False,True
sub-NDARDY150ZP9,False,False,False,True
sub-NDARDY741VEB,False,False,False,True
sub-NDARDZ058NZN,False,False,False,True
sub-NDARDZ147ETZ,False,False,False,True
sub-NDARDZ266KET,False,False,False,True
sub-NDARDZ425JVB,False,False,False,True
sub-NDARDZ440NGK,False,False,False,True
sub-NDAREA730YXX,False,False,False,True
sub-NDAREB303XDC,False,False,False,True
sub-NDAREB662RLE,False,False,False,True
sub-NDAREB953UMY,False,False,False,True
sub-NDAREC277JCP,False,False,False,True
sub-NDAREC377AU2,False,False,False,True
sub-NDAREC447FDH,False,False,False,True
sub-NDAREC542MH3,False,False,False,True
sub-NDARED010UML,False,False,False,True
sub-NDAREE543HYQ,False,True,False,False
sub-NDAREF074ZAQ,False,False,True,False
sub-NDAREF150LNT,False,True,True,False
sub-NDAREF389RY2,False,False,False,True
sub-NDAREF893ZM8,False,False,False,True
sub-NDAREG013BLG,False,False,False,True
sub-NDAREG350WZ4,False,False,False,True
sub-NDAREG561ML5,False,False,False,True
sub-NDAREG806MMA,False,False,False,True
sub-NDAREH074NG8,False,False,False,True
sub-NDAREH333KZD,False,False,False,True
sub-NDAREJ923AYR,False,False,False,True
sub-NDAREK109WK1,False,False,False,True
sub-NDAREK549XUQ,False,False,False,True
sub-NDAREK686WN1,False,False,False,True
sub-NDAREK731AXL,False,False,False,True
sub-NDAREK801BPB,False,False,True,False
sub-NDAREK862TN1,False,False,False,True
sub-NDAREL027FPB,False,False,False,True
sub-NDAREL0366HL,False,False,False,True
sub-NDAREL721PGQ,False,False,False,True
sub-NDAREM155HGQ,False,False,False,True
sub-NDAREM333CK5,False,False,False,True
sub-NDAREM356FXV,False,False,False,True
sub-NDAREM500WWH,False,False,True,False
sub-NDAREM609ZXW,False,False,False,True
sub-NDAREM687HPE,False,False,False,True
sub-NDAREM731BYM,False,False,False,True
sub-NDAREM887YY8,False,False,True,False
sub-NDAREN151YXN,False,False,False,True
sub-NDAREN519BLJ,False,False,False,True
sub-NDAREN691WTC,False,False,False,True
sub-NDAREN969HF7,False,False,False,True
sub-NDAREN999ERM,False,False,False,True
sub-NDAREP061MTY,False,False,False,True
sub-NDAREP505XAD,False,False,False,True
sub-NDARER054VLK,False,False,False,True
sub-NDARER115FTJ,False,False,False,True
sub-NDARER379GTP,False,False,False,True
sub-NDARET067PK6,False,False,False,True
sub-NDARET069PKN,False,False,False,True
sub-NDARET332CTB,False,False,False,True
sub-NDARET484TTP,False,False,False,True
sub-NDARET550NXC,False,False,False,True
sub-NDARET558NB3,False,False,False,True
sub-NDARET632ELD,False,False,False,True
sub-NDARET671FTC,False,False,False,True
sub-NDARET888KD2,False,False,False,True
sub-NDAREU438HAF,False,False,True,False
sub-NDAREU890CYJ,False,False,False,True
sub-NDAREV372WDG,False,False,False,True
sub-NDAREV527ZRF,False,False,False,True
sub-NDAREV601CE7,False,False,False,True
sub-NDAREV848HWX,False,False,False,True
sub-NDAREW074ZM2,False,False,False,True
sub-NDAREW326RXX,False,False,False,True
sub-NDAREW430AYU,False,False,False,True
sub-NDAREW557WZM,False,False,False,True
sub-NDAREW661NZJ,False,False,False,True
sub-NDAREW937RMY,False,False,True,False
sub-NDAREX531PXT,False,False,False,True
sub-NDAREX726VYV,False,True,False,False
sub-NDAREY359ANG,False,False,False,True
sub-NDAREY366VH0,False,False,False,True
sub-NDAREY512KVX,False,False,False,True
sub-NDAREY778CR9,False,False,True,False
sub-NDAREZ416XDW,False,False,False,True
sub-NDARFA089ZZG,False,False,False,True
sub-NDARFA358RJJ,False,False,False,True
sub-NDARFA402LMW,False,False,False,True
sub-NDARFA780CUG,False,True,True,False
sub-NDARFA804ZLW,False,False,False,True
sub-NDARFA815FXE,False,False,False,True
sub-NDARFB146TG0,False,False,False,True
sub-NDARFB371EMF,False,False,False,True
sub-NDARFB908HVX,False,False,False,True
sub-NDARFC339HXZ,False,False,False,True
sub-NDARFC405UUZ,False,False,False,True
sub-NDARFC694PW2,False,False,False,True
sub-NDARFD316UD2,False,False,False,True
sub-NDARFD453NPR,False,False,False,True
sub-NDARFD552FRH,False,False,False,True
sub-NDARFD628UVZ,True,False,False,False
sub-NDARFD822TY5,False,True,False,False
sub-NDARFE555KXB,False,False,False,True
sub-NDARFE868RRJ,False,False,False,True
sub-NDARFE902PF9,False,False,False,True
sub-NDARFF070XHV,False,False,False,True
sub-NDARFF644ZGD,False,False,False,True
sub-NDARFG118DW3,False,False,False,True
sub-NDARFG757CEU,False,False,False,True
sub-NDARFH099KNX,False,False,False,True
sub-NDARFJ000DCY,False,False,False,True
sub-NDARFJ031UJJ,False,False,False,True
sub-NDARFJ488VPT,False,False,False,True
sub-NDARFJ494ZDJ,False,False,False,True
sub-NDARFK452XCU,False,False,False,True
sub-NDARFK610GY5,False,False,False,True
sub-NDARFK819TD5,False,False,False,True
sub-NDARFL579BAP,False,False,False,True
sub-NDARFL793LDE,False,False,False,True
sub-NDARFM645RH5,False,False,True,False
sub-NDARFM811ZCE,False,False,False,True
sub-NDARFM870UHU,False,False,False,True
sub-NDARFN636ZYB,False,False,False,True
sub-NDARFP243NWY,False,False,False,True
sub-NDARFP503KJF,False,False,True,False
sub-NDARFP601KKC,False,False,False,True
sub-NDARFP813TL5,False,False,False,True
sub-NDARFP841PDJ,False,False,False,True
sub-NDARFR103CUN,False,False,True,False
sub-NDARFR108JNB,False,False,False,True
sub-NDARFR301KKP,False,False,False,True
sub-NDARFR445XKP,False,False,False,True
sub-NDARFR601RDQ,False,False,False,True
sub-NDARFR873KZX,False,False,False,True
sub-NDARFT176NJP,False,False,False,True
sub-NDARFT305CG1,False,False,False,True
sub-NDARFT581ZW5,False,False,False,True
sub-NDARFT591CKG,True,True,False,False
sub-NDARFT615JZ6,False,False,False,True
sub-NDARFT698LLU,False,False,False,True
sub-NDARFT787HJW,False,False,False,True
sub-NDARFU407YL4,False,False,False,True
sub-NDARFU786BN4,False,False,False,True
sub-NDARFV557XAA,False,False,False,True
sub-NDARFV725DEQ,False,False,False,True
sub-NDARFV780ABD,False,False,False,True
sub-NDARFW002KMK,False,False,True,False
sub-NDARFW038ZNE,False,False,False,True
sub-NDARFW506ZZ0,False,False,False,True
sub-NDARFW626NVV,False,False,False,True
sub-NDARFW972KFQ,False,False,False,True
sub-NDARFX455JFY,True,False,True,False
sub-NDARFX626DFH,False,False,False,True
sub-NDARFX710UZA,False,False,False,True
sub-NDARFY009MNL,False,False,False,True
sub-NDARFY525TL2,False,False,False,True
sub-NDARGA056TMW,False,False,False,True
sub-NDARGA499CKF,False,True,False,False
sub-NDARGB040MGR,False,False,False,True
sub-NDARGB060TAM,False,False,False,True
sub-NDARGB102NWJ,False,False,False,True
sub-NDARGB324PM1,False,False,False,True
sub-NDARGB441VVD,False,False,False,True
sub-NDARGB467PK5,False,False,False,True
sub-NDARGB866MPN,False,False,False,True
sub-NDARGB998HX3,False,False,False,True
sub-NDARGC124PAW,False,False,False,True
sub-NDARGC157LYY,False,False,False,True
sub-NDARGC170UK2,False,False,False,True
sub-NDARGC255BUN,False,False,False,True
sub-NDARGC407NV7,False,False,False,True
sub-NDARGC559LN8,False,False,False,True
sub-NDARGC822DBX,False,False,False,True
sub-NDARGD414HBX,False,False,False,True
sub-NDARGD414MUA,False,False,False,True
sub-NDARGD507TDZ,False,False,False,True
sub-NDARGD751MMW,False,False,False,True
sub-NDARGD919DHK,False,False,False,True
sub-NDARGE643MYU,False,False,False,True
sub-NDARGE946RCB,False,False,False,True
sub-NDARGE994BMX,False,True,False,False
sub-NDARGF192VD1,False,False,False,True
sub-NDARGF367KVL,False,False,False,True
sub-NDARGG058DYF,False,False,False,True
sub-NDARGG205WVN,False,False,False,True
sub-NDARGG655YCT,False,False,False,True
sub-NDARGH592NZ2,False,False,False,True
sub-NDARGH629CW0,False,False,False,True
sub-NDARGH775KF5,False,False,False,True
sub-NDARGH790CEF,True,False,True,False
sub-NDARGJ392ACY,False,False,False,True
sub-NDARGJ395FKP,False,False,False,True
sub-NDARGJ596GTA,False,False,False,True
sub-NDARGJ627BL2,False,False,False,True
sub-NDARGJ653MG2,False,False,False,True
sub-NDARGJ878ZP4,False,False,False,True
sub-NDARGJ954FP7,False,False,False,True
sub-NDARGK253TTG,False,True,True,False
sub-NDARGK442YHH,False,False,False,True
sub-NDARGK736HF4,False,False,False,True
sub-NDARGK981YLX,False,False,False,True
sub-NDARGL014PN6,False,False,False,True
sub-NDARGL359WZA,False,False,False,True
sub-NDARGL586HN9,False,False,False,True
sub-NDARGL800LDW,False,False,False,True
sub-NDARGM159ZL9,False,False,False,True
sub-NDARGM240YJM,False,False,False,True
sub-NDARGM258RZU,False,False,False,True
sub-NDARGM421YWQ,False,False,False,True
sub-NDARGM426CJT,False,False,False,True
sub-NDARGM439FZD,False,False,False,True
sub-NDARGM616DJC,False,False,False,True
sub-NDARGN205MUG,False,False,False,True
sub-NDARGN210CK7,False,False,False,True
sub-NDARGN534LJB,False,False,False,True
sub-NDARGN640XT9,False,False,False,True
sub-NDARGN721GKT,False,False,False,True
sub-NDARGP132PYA,False,False,False,True
sub-NDARGP191YHN,False,False,False,True
sub-NDARGP240ENJ,False,False,False,True
sub-NDARGP399TDM,True,False,True,False
sub-NDARGR106TJB,False,False,False,True
sub-NDARGT551AFK,False,False,False,True
sub-NDARGT634DUJ,False,False,False,True
sub-NDARGT682ZWN,False,False,False,True
sub-NDARGU067HT7,False,False,False,True
sub-NDARGU126KC2,False,False,False,True
sub-NDARGU182ELW,False,False,False,True
sub-NDARGU271CPG,False,False,True,False
sub-NDARGU729WUR,False,False,False,True
sub-NDARGV263ZRY,False,False,False,True
sub-NDARGV436PFT,False,False,False,True
sub-NDARGV455JV1,False,False,False,True
sub-NDARGV781AMW,False,False,False,True
sub-NDARGW180RV4,False,False,True,False
sub-NDARGW249GEJ,False,False,False,True
sub-NDARGW404GJL,False,False,False,True
sub-NDARGW888PAL,False,False,False,True
sub-NDARGW899XRD,False,False,False,True
sub-NDARGX001CB1,False,False,False,True
sub-NDARGX161LRM,False,False,False,True
sub-NDARGX173AC3,False,False,False,True
sub-NDARGY200NTW,False,False,False,True
sub-NDARGY381RCN,False,False,False,True
sub-NDARGY464EYL,False,False,False,True
sub-NDARGY559UL3,False,False,False,True
sub-NDARGY639ANB,False,False,False,True
sub-NDARGY959RN8,False,False,False,True
